ExceptionID,LoanID,Category,Priority,Status,CreatedDate,OwnerTeam,AgeDays
E0000001,L0000001,Missed Payment,Medium,Retest,2026-12-28,Collections,2
E0000002,L0000002,Missed Payment,Medium,Resolved,2026-09-29,Collections,4
E0000003,L0000002,Payment Mismatch,Low,In Progress,2026-12-25,Finance Ops,7
E0000004,L0000003,Missed Payment,Medium,Open,2025-10-22,Loan Ops,6
E0000005,L0000003,Payment Mismatch,High,Retest,2026-07-23,Finance Ops,7
E0000006,L0000003,KYC Failure,High,Manual Review,2025-09-21,Compliance,4
E0000007,L0000004,Payment Mismatch,High,Open,2026-03-30,Finance Ops,7
E0000008,L0000006,Payment Mismatch,Medium,Retest,2025-05-22,Collections,5
E0000009,L0000006,Payment Mismatch,High,Open,2025-06-19,Collections,7
E0000010,L0000006,Payment Mismatch,Low,Open,2025-08-30,Loan Ops,3
E0000011,L0000006,Payment Mismatch,Medium,Open,2026-02-14,Loan Ops,3
E0000012,L0000007,Missed Payment,Medium,In Progress,2026-06-09,Finance Ops,2
E0000013,L0000007,Payment Mismatch,High,Resolved,2026-11-05,Loan Ops,4
E0000014,L0000007,Missed Payment,Low,Retest,2027-01-03,Finance Ops,7
E0000015,L0000007,Missed Payment,Low,Open,2027-03-04,Loan Ops,3
E0000016,L0000007,Payment Mismatch,Low,Retest,2027-04-05,Loan Ops,6
E0000017,L0000008,Payment Mismatch,Medium,In Progress,2025-09-04,Loan Ops,6
E0000018,L0000009,Missed Payment,High,Resolved,2025-12-27,Finance Ops,7
E0000019,L0000009,Missed Payment,High,Open,2026-02-25,Finance Ops,7
E0000020,L0000009,Payment Mismatch,High,Open,2026-04-21,Loan Ops,4
E0000021,L0000009,Payment Mismatch,Medium,Open,2026-06-21,Loan Ops,6
E0000022,L0000009,KYC Failure,High,Open,2025-10-20,Compliance,3
E0000023,L0000010,Payment Mismatch,Medium,In Progress,2025-11-02,Finance Ops,1
E0000024,L0000010,Payment Mismatch,High,Open,2025-11-22,Loan Ops,6
E0000025,L0000010,KYC Failure,High,Open,2025-06-19,Compliance,1
E0000026,L0000011,Payment Mismatch,High,Retest,2027-07-20,Loan Ops,1
E0000027,L0000012,Payment Mismatch,Medium,In Progress,2027-01-14,Collections,6
E0000028,L0000012,Missed Payment,Low,Resolved,2027-03-15,Loan Ops,5
E0000029,L0000012,Payment Mismatch,Low,In Progress,2027-06-17,Loan Ops,1
E0000030,L0000014,Payment Mismatch,High,In Progress,2026-06-24,Collections,1
E0000031,L0000015,Missed Payment,Low,Retest,2025-09-12,Collections,5
E0000032,L0000015,KYC Failure,High,Manual Review,2025-05-09,Compliance,2
E0000033,L0000016,Payment Mismatch,Medium,Open,2025-11-02,Collections,4
E0000034,L0000017,Payment Mismatch,Low,Open,2025-05-25,Loan Ops,4
E0000035,L0000018,Missed Payment,Low,Open,2026-04-24,Collections,5
E0000036,L0000019,Payment Mismatch,Medium,Open,2025-10-16,Collections,6
E0000037,L0000019,KYC Failure,High,Resolved,2025-07-12,Compliance,4
E0000038,L0000020,Payment Mismatch,Medium,Retest,2026-03-28,Collections,3
E0000039,L0000020,Payment Mismatch,Medium,In Progress,2026-09-23,Collections,6
E0000040,L0000022,Missed Payment,Medium,Resolved,2025-03-26,Collections,1
E0000041,L0000023,Missed Payment,High,Resolved,2026-02-21,Collections,6
E0000042,L0000023,Payment Mismatch,Low,In Progress,2026-03-23,Finance Ops,2
E0000043,L0000023,Payment Mismatch,Medium,Open,2026-07-22,Collections,1
E0000044,L0000023,Missed Payment,Medium,Open,2026-11-22,Loan Ops,1
E0000045,L0000023,Payment Mismatch,Medium,Retest,2026-12-27,Loan Ops,5
E0000046,L0000023,KYC Failure,High,Resolved,2026-01-18,Compliance,2
E0000047,L0000024,Missed Payment,Medium,Open,2025-12-16,Loan Ops,2
E0000048,L0000024,Payment Mismatch,High,Retest,2026-05-20,Loan Ops,3
E0000049,L0000024,Payment Mismatch,High,Resolved,2026-06-14,Finance Ops,6
E0000050,L0000026,Payment Mismatch,Low,In Progress,2025-12-27,Loan Ops,7
E0000051,L0000026,Missed Payment,High,In Progress,2026-05-26,Finance Ops,3
E0000052,L0000026,Missed Payment,Low,Open,2026-06-19,Finance Ops,7
E0000053,L0000027,Payment Mismatch,Medium,Retest,2026-07-02,Finance Ops,3
E0000054,L0000028,Payment Mismatch,Medium,Resolved,2025-08-24,Collections,7
E0000055,L0000029,Missed Payment,High,Retest,2026-09-14,Collections,5
E0000056,L0000030,Missed Payment,Medium,Open,2026-11-11,Loan Ops,1
E0000057,L0000030,KYC Failure,High,Resolved,2026-01-08,Compliance,2
E0000058,L0000032,Payment Mismatch,High,Retest,2025-05-17,Collections,3
E0000059,L0000032,Payment Mismatch,Low,Retest,2026-08-03,Finance Ops,1
E0000060,L0000033,Payment Mismatch,Low,In Progress,2026-09-01,Finance Ops,7
E0000061,L0000033,Missed Payment,Medium,Retest,2027-02-02,Finance Ops,3
E0000062,L0000033,Missed Payment,High,Retest,2027-04-11,Finance Ops,2
E0000063,L0000034,Payment Mismatch,Medium,In Progress,2026-03-20,Finance Ops,5
E0000064,L0000035,Payment Mismatch,Medium,In Progress,2026-11-16,Collections,3
E0000065,L0000036,Payment Mismatch,High,Resolved,2026-03-21,Collections,4
E0000066,L0000037,Missed Payment,Medium,Resolved,2026-03-02,Loan Ops,5
E0000067,L0000037,Payment Mismatch,Low,Resolved,2026-09-04,Finance Ops,2
E0000068,L0000037,Missed Payment,Medium,Resolved,2026-09-30,Finance Ops,7
E0000069,L0000037,Missed Payment,High,Retest,2026-12-29,Loan Ops,5
E0000070,L0000037,KYC Failure,High,Open,2025-07-02,Compliance,2
E0000071,L0000038,Payment Mismatch,High,Retest,2025-07-27,Loan Ops,4
E0000072,L0000040,Missed Payment,High,Resolved,2025-06-09,Collections,6
E0000073,L0000040,Payment Mismatch,High,Retest,2025-08-20,Finance Ops,1
E0000074,L0000040,Missed Payment,Medium,In Progress,2026-01-06,Loan Ops,4
E0000075,L0000040,Missed Payment,Medium,In Progress,2026-04-17,Loan Ops,4
E0000076,L0000042,Payment Mismatch,High,Retest,2025-08-24,Loan Ops,1
E0000077,L0000042,Payment Mismatch,Medium,Resolved,2025-10-18,Finance Ops,4
E0000078,L0000042,Missed Payment,High,In Progress,2026-01-17,Loan Ops,4
E0000079,L0000042,Payment Mismatch,Medium,In Progress,2026-02-16,Finance Ops,3
E0000080,L0000042,Payment Mismatch,Low,Open,2026-03-15,Finance Ops,3
E0000081,L0000044,Payment Mismatch,Medium,In Progress,2026-01-24,Finance Ops,5
E0000082,L0000044,Missed Payment,Low,Resolved,2026-04-29,Collections,1
E0000083,L0000045,Payment Mismatch,Medium,In Progress,2026-12-03,Collections,1
E0000084,L0000045,Payment Mismatch,Low,Open,2027-01-02,Finance Ops,4
E0000085,L0000046,Payment Mismatch,High,Resolved,2026-09-16,Finance Ops,1
E0000086,L0000046,Missed Payment,High,Resolved,2026-10-12,Collections,6
E0000087,L0000046,Missed Payment,Low,Retest,2027-01-11,Finance Ops,2
E0000088,L0000047,Payment Mismatch,Low,In Progress,2025-10-13,Loan Ops,1
E0000089,L0000047,Payment Mismatch,High,In Progress,2025-10-31,Collections,7
E0000090,L0000048,KYC Failure,High,Manual Review,2026-06-03,Compliance,5
E0000091,L0000050,Payment Mismatch,Medium,Retest,2026-05-25,Collections,1
E0000092,L0000050,KYC Failure,High,Manual Review,2026-03-22,Compliance,3
E0000093,L0000051,Payment Mismatch,High,Open,2026-03-27,Loan Ops,3
E0000094,L0000052,Payment Mismatch,Medium,Resolved,2026-09-22,Collections,4
E0000095,L0000052,Payment Mismatch,High,In Progress,2027-07-24,Loan Ops,6
E0000096,L0000052,Payment Mismatch,Low,Open,2027-08-23,Finance Ops,4
E0000097,L0000052,KYC Failure,High,Manual Review,2026-05-18,Compliance,5
E0000098,L0000053,Missed Payment,Medium,Resolved,2025-09-04,Finance Ops,1
E0000099,L0000053,Missed Payment,High,Retest,2025-10-03,Loan Ops,2
E0000100,L0000053,Missed Payment,Low,In Progress,2025-11-03,Collections,4
E0000101,L0000054,Payment Mismatch,Low,In Progress,2026-07-16,Finance Ops,6
E0000102,L0000054,Payment Mismatch,High,Retest,2026-10-16,Collections,2
E0000103,L0000054,Payment Mismatch,Low,Resolved,2027-01-10,Finance Ops,5
E0000104,L0000056,Payment Mismatch,High,Retest,2026-05-03,Finance Ops,4
E0000105,L0000057,Payment Mismatch,Medium,In Progress,2025-04-08,Finance Ops,1
E0000106,L0000057,Missed Payment,Medium,Retest,2025-09-28,Collections,2
E0000107,L0000058,Missed Payment,Medium,Resolved,2026-07-30,Loan Ops,3
E0000108,L0000058,Payment Mismatch,High,Resolved,2027-04-03,Finance Ops,4
E0000109,L0000059,Missed Payment,Low,In Progress,2025-08-16,Loan Ops,6
E0000110,L0000060,Missed Payment,Medium,Open,2026-10-02,Loan Ops,4
E0000111,L0000062,Payment Mismatch,High,Resolved,2026-11-16,Finance Ops,4
E0000112,L0000062,Payment Mismatch,High,Resolved,2027-01-11,Loan Ops,1
E0000113,L0000062,KYC Failure,High,Resolved,2025-09-17,Compliance,3
E0000114,L0000063,Payment Mismatch,High,Resolved,2025-07-03,Collections,1
E0000115,L0000064,Missed Payment,Low,Resolved,2026-03-19,Loan Ops,2
E0000116,L0000064,Payment Mismatch,Low,Open,2026-04-20,Finance Ops,3
E0000117,L0000064,Payment Mismatch,Low,Retest,2027-01-11,Finance Ops,1
E0000118,L0000065,Payment Mismatch,Medium,Resolved,2026-06-02,Loan Ops,2
E0000119,L0000065,Missed Payment,Low,Resolved,2027-01-01,Loan Ops,4
E0000120,L0000066,Payment Mismatch,Medium,Resolved,2025-10-30,Loan Ops,4
E0000121,L0000067,Missed Payment,Medium,In Progress,2026-05-21,Collections,7
E0000122,L0000067,Payment Mismatch,High,Open,2026-09-17,Loan Ops,1
E0000123,L0000067,Payment Mismatch,High,Resolved,2027-02-20,Loan Ops,6
E0000124,L0000068,Payment Mismatch,Medium,Open,2025-08-02,Finance Ops,3
E0000125,L0000068,Payment Mismatch,Low,In Progress,2025-09-29,Collections,5
E0000126,L0000069,Payment Mismatch,Low,In Progress,2027-03-20,Collections,7
E0000127,L0000069,KYC Failure,High,Manual Review,2025-12-21,Compliance,2
E0000128,L0000070,Payment Mismatch,High,Retest,2026-05-28,Collections,7
E0000129,L0000071,Payment Mismatch,Low,Open,2025-08-07,Loan Ops,1
E0000130,L0000071,Missed Payment,Medium,Retest,2025-09-26,Loan Ops,7
E0000131,L0000071,Missed Payment,High,In Progress,2026-03-05,Finance Ops,5
E0000132,L0000072,Missed Payment,Medium,Resolved,2026-05-07,Collections,3
E0000133,L0000073,Payment Mismatch,High,Resolved,2025-10-07,Finance Ops,1
