ReportDate,PortfolioID,LoanCount,OutstandingBalance,CollectionRate,DelinquencyRate,InterestIncome
2025-01-28,Portfolio-A,1793,12514650.89,0.9307,0.0525,63860.02
2025-02-28,Portfolio-A,1793,12599510.54,0.9811,0.0234,70650.39
2025-03-28,Portfolio-A,1793,12390842.69,0.9115,0.0233,109393.65
2025-04-28,Portfolio-A,1793,12921949.57,0.9522,0.0545,112466.87
2025-05-28,Portfolio-A,1793,12927866.51,0.9475,0.0165,77980.3
2025-06-28,Portfolio-A,1793,12092111.09,0.9569,0.0299,76502.71
2025-07-28,Portfolio-A,1793,11877981.86,0.956,0.0353,78562.22
2025-08-28,Portfolio-A,1793,12124452.09,0.9184,0.0423,76284.96
2025-09-28,Portfolio-A,1793,13179902.42,0.9701,0.0153,89700.97
2025-10-28,Portfolio-A,1793,12621071.78,0.9689,0.0268,82069.89
2025-11-28,Portfolio-A,1793,12980231.7,0.9117,0.034,114652.34
2025-12-28,Portfolio-A,1793,11943870.99,0.9717,0.0285,89399.85
2026-01-28,Portfolio-A,1793,13014279.84,0.9445,0.0246,83361.55
2026-02-28,Portfolio-A,1793,12741540.04,0.9293,0.0168,113678.93
2026-03-28,Portfolio-A,1793,12938356.23,0.9847,0.0412,98538.55
2026-04-28,Portfolio-A,1793,13209266.49,0.9714,0.0514,100124.48
2026-05-28,Portfolio-A,1793,12756181.61,0.9654,0.0544,73838.54
2026-06-28,Portfolio-A,1793,12813524.63,0.9755,0.0307,102550.66
2026-07-28,Portfolio-A,1793,12889819.57,0.9748,0.0247,102156.11
2026-08-28,Portfolio-A,1793,12670412.66,0.922,0.0511,88642.43
2026-09-28,Portfolio-A,1793,11915547.25,0.9785,0.0339,85490.99
2026-10-28,Portfolio-A,1793,12967137.57,0.9395,0.025,80876.28
2026-11-28,Portfolio-A,1793,12308148.31,0.9582,0.0313,85309.7
2026-12-28,Portfolio-A,1793,12567532.29,0.9787,0.0356,71416.52
