LoanID,CustomerID,Product,Region,LoanAmount,TermMonths,InterestRate,ApplicationDate,ApprovalDate,ApprovalDays,LoanStatus,RiskBand,OutstandingBalance
L0000001,C000001,Debt Consolidation,South East,22000,12,7.9,2026-03-29,2026-04-03,5,Active,Low,20432.89
L0000002,C000004,Debt Consolidation,North West,15500,12,12.9,2026-01-26,2026-01-30,4,Approved,Low,9437.44
L0000003,C000005,Personal Loan,Scotland,26500,36,18.9,2025-09-19,2025-09-23,4,Active,Medium,18291.68
L0000004,C000006,Home Improvement,North West,26000,12,7.9,2026-02-26,2026-03-01,3,Approved,Low,21471.04
L0000005,C000008,Personal Loan,South West,25500,24,9.9,2025-03-02,2025-03-07,5,Active,Medium,22203.88
L0000006,C000010,Car Finance,Wales,5000,24,18.9,2025-02-12,2025-02-20,8,Closed,Low,0
L0000007,C000013,Personal Loan,North West,23000,12,15.9,2026-05-03,2026-05-08,5,Active,Low,5890.87
L0000008,C000016,Debt Consolidation,South West,11000,12,7.9,2025-04-29,2025-05-05,6,Active,Medium,8448.36
L0000009,C000017,Home Improvement,South East,6500,12,18.9,2025-10-18,2025-10-22,4,Closed,Medium,0
L0000010,C000018,Home Improvement,South West,20000,24,15.9,2025-06-17,2025-06-24,7,Closed,Low,0
L0000011,C000019,Personal Loan,North West,11500,60,9.9,2026-05-16,2026-05-20,4,Closed,Medium,0
L0000012,C000020,Personal Loan,South West,4000,60,18.9,2026-05-16,2026-05-20,4,Active,Low,3101.65
L0000013,C000021,Home Improvement,Wales,20500,36,12.9,2025-08-10,2025-08-16,6,Active,Low,7510.38
L0000014,C000022,Debt Consolidation,Wales,20000,60,18.9,2026-01-17,2026-01-24,7,Active,Low,8251.58
L0000015,C000023,Home Improvement,South East,7500,60,12.9,2025-05-07,2025-05-09,2,Active,Low,5485.34
L0000016,C000024,Home Improvement,Midlands,14000,60,12.9,2025-05-27,2025-05-30,3,Active,Low,10321.18
L0000017,C000025,Personal Loan,South East,15500,60,9.9,2025-01-11,2025-01-14,3,Defaulted,Low,7541.39
L0000018,C000026,Personal Loan,Midlands,5500,36,9.9,2026-01-18,2026-01-23,5,Closed,Low,0
L0000019,C000027,Debt Consolidation,North West,14500,36,7.9,2025-07-10,2025-07-16,6,Active,Low,7118.0
L0000020,C000030,Car Finance,Midlands,17000,36,7.9,2025-07-23,2025-07-29,6,Active,Medium,13835.46
L0000021,C000031,Debt Consolidation,Wales,21500,24,9.9,2026-05-30,2026-06-06,7,Approved,Low,5374.63
L0000022,C000032,Home Improvement,Scotland,7500,12,7.9,2025-02-18,2025-02-23,5,Active,Medium,2444.56
L0000023,C000033,Personal Loan,South West,9500,36,9.9,2026-01-16,2026-01-20,4,Active,Medium,1748.59
L0000024,C000034,Car Finance,Midlands,20000,24,18.9,2025-06-13,2025-06-18,5,Closed,Low,0
L0000025,C000035,Debt Consolidation,South West,29500,60,18.9,2025-09-21,2025-09-26,5,Active,High,18667.04
L0000026,C000036,Debt Consolidation,London,7000,24,15.9,2025-11-14,2025-11-21,7,Closed,Medium,0
L0000027,C000037,Home Improvement,North West,28000,24,12.9,2026-03-31,2026-04-04,4,Active,Medium,18782.77
L0000028,C000039,Personal Loan,South West,21500,36,7.9,2025-03-20,2025-03-26,6,Active,High,19206.74
L0000029,C000040,Personal Loan,Wales,28000,12,7.9,2026-05-05,2026-05-06,1,Active,Low,11707.76
L0000030,C000041,Car Finance,North West,2000,24,7.9,2026-01-06,2026-01-09,3,Active,Low,1889.64
L0000031,C000043,Personal Loan,Wales,17000,48,12.9,2025-11-03,2025-11-06,3,Active,High,4749.57
L0000032,C000044,Car Finance,North West,18500,48,9.9,2025-04-05,2025-04-11,6,Closed,Low,0
L0000033,C000045,Home Improvement,Midlands,26000,36,15.9,2026-01-01,2026-01-05,4,Active,Low,24915.7
L0000034,C000046,Home Improvement,Scotland,19500,12,15.9,2025-11-13,2025-11-18,5,Active,High,5671.88
L0000035,C000047,Personal Loan,Scotland,13500,12,15.9,2025-11-18,2025-11-22,4,Closed,Medium,0
L0000036,C000048,Car Finance,Midlands,21000,48,9.9,2025-12-17,2025-12-22,5,Closed,Low,0
L0000037,C000049,Car Finance,South West,4500,24,7.9,2025-06-30,2025-07-05,5,Closed,Low,0
L0000038,C000050,Debt Consolidation,North West,21000,48,9.9,2025-06-20,2025-06-26,6,Active,Medium,20087.51
L0000039,C000052,Car Finance,Wales,16500,48,12.9,2025-06-30,2025-07-06,6,Active,Low,6378.46
L0000040,C000053,Car Finance,South West,23000,36,15.9,2025-02-03,2025-02-10,7,Active,Low,13979.81
L0000041,C000054,Home Improvement,Scotland,24500,24,18.9,2025-04-12,2025-04-18,6,Active,Low,20702.27
L0000042,C000055,Debt Consolidation,Wales,16500,36,9.9,2025-05-14,2025-05-20,6,Active,Low,6541.35
L0000043,C000056,Personal Loan,Scotland,19000,12,18.9,2025-01-31,2025-02-04,4,Closed,Low,0
L0000044,C000058,Home Improvement,London,23500,36,15.9,2025-07-22,2025-07-27,5,Active,Medium,6756.06
L0000045,C000061,Personal Loan,South West,11000,60,9.9,2026-01-30,2026-02-03,4,Active,Low,6890.15
L0000046,C000062,Personal Loan,Midlands,17500,12,12.9,2026-04-11,2026-04-16,5,Delinquent,Low,3050.41
L0000047,C000063,Debt Consolidation,North West,26000,60,15.9,2025-06-01,2025-06-04,3,Active,Low,16370.75
L0000048,C000064,Car Finance,South East,5000,24,9.9,2026-06-01,2026-06-04,3,Delinquent,High,4796.52
L0000049,C000065,Car Finance,Wales,5500,60,7.9,2025-09-29,2025-10-03,4,Active,Low,3143.69
L0000050,C000066,Debt Consolidation,Midlands,5000,12,9.9,2026-03-20,2026-03-26,6,Delinquent,High,1228.03
L0000051,C000067,Home Improvement,Wales,25000,12,7.9,2025-10-22,2025-10-28,6,Approved,High,21440.7
L0000052,C000069,Personal Loan,South East,29500,24,15.9,2026-05-16,2026-05-24,8,Active,Medium,18314.53
L0000053,C000071,Home Improvement,London,10000,36,12.9,2025-06-29,2025-07-03,4,Defaulted,Low,3081.75
L0000054,C000072,Personal Loan,Wales,3000,24,12.9,2026-04-10,2026-04-16,6,Closed,Medium,0
L0000055,C000073,Debt Consolidation,London,27500,60,9.9,2025-11-27,2025-12-01,4,Active,Low,10996.75
L0000056,C000074,Car Finance,Scotland,16500,12,18.9,2026-02-25,2026-03-01,4,Active,Low,3686.03
L0000057,C000075,Debt Consolidation,South East,24000,24,18.9,2025-02-24,2025-03-03,7,Active,Low,21429.44
L0000058,C000077,Personal Loan,South East,29000,60,7.9,2026-03-26,2026-04-02,7,Active,Low,8798.33
L0000059,C000079,Car Finance,London,7000,36,18.9,2025-01-10,2025-01-16,6,Active,Low,4030.79
L0000060,C000080,Debt Consolidation,London,12000,24,9.9,2026-05-03,2026-05-06,3,Active,Medium,9052.51
L0000061,C000081,Personal Loan,South West,8500,12,9.9,2025-04-09,2025-04-15,6,Active,Low,3678.72
L0000062,C000083,Debt Consolidation,Wales,14000,36,7.9,2025-09-15,2025-09-19,4,Closed,Low,0
L0000063,C000086,Personal Loan,South West,2500,24,18.9,2025-02-26,2025-03-02,4,Closed,High,0
L0000064,C000089,Debt Consolidation,Wales,17000,12,7.9,2026-02-12,2026-02-16,4,Active,Low,9533.45
L0000065,C000090,Car Finance,Wales,11500,12,7.9,2026-01-29,2026-02-03,5,Active,Low,5396.61
L0000066,C000091,Debt Consolidation,Wales,7000,48,15.9,2025-09-24,2025-10-01,7,Closed,Low,0
L0000067,C000092,Debt Consolidation,Wales,2500,48,7.9,2026-04-19,2026-04-20,1,Active,Low,1222.87
L0000068,C000093,Home Improvement,South East,18000,12,9.9,2025-04-26,2025-05-02,6,Active,Medium,15087.32
L0000069,C000094,Personal Loan,North West,8500,48,18.9,2025-12-19,2025-12-26,7,Active,Medium,8013.79
L0000070,C000096,Home Improvement,North West,23500,60,9.9,2026-02-22,2026-02-27,5,Approved,Low,10187.36
L0000071,C000098,Home Improvement,South West,4000,24,18.9,2025-06-20,2025-06-27,7,Delinquent,Low,1023.14
L0000072,C000099,Home Improvement,London,12000,48,9.9,2026-01-24,2026-01-26,2,Active,Medium,11209.89
L0000073,C000100,Home Improvement,North West,15500,60,12.9,2025-08-04,2025-08-07,3,Active,Medium,4455.35
L0000074,C000101,Home Improvement,Wales,22000,60,7.9,2026-04-10,2026-04-14,4,Closed,High,0
L0000075,C000105,Personal Loan,Midlands,27000,48,18.9,2026-05-17,2026-05-21,4,Active,Medium,25629.01
L0000076,C000106,Car Finance,South East,10000,36,15.9,2025-11-27,2025-12-03,6,Active,Medium,5029.15
L0000077,C000107,Personal Loan,South East,13500,36,15.9,2025-06-15,2025-06-20,5,Delinquent,Low,11498.63
L0000078,C000110,Personal Loan,South West,25500,60,18.9,2025-01-16,2025-01-23,7,Delinquent,Low,19399.76
L0000079,C000115,Personal Loan,London,9000,60,7.9,2026-04-09,2026-04-13,4,Active,Low,6151.85
L0000080,C000116,Personal Loan,Scotland,12000,48,15.9,2025-08-30,2025-09-05,6,Active,High,10975.45
L0000081,C000119,Debt Consolidation,North West,17000,48,9.9,2025-09-15,2025-09-23,8,Closed,Medium,0
L0000082,C000120,Car Finance,Midlands,8000,36,12.9,2025-01-15,2025-01-18,3,Closed,Medium,0
L0000083,C000122,Personal Loan,North West,6000,60,15.9,2025-02-23,2025-02-26,3,Active,Medium,2099.05
L0000084,C000123,Debt Consolidation,South West,29000,48,12.9,2026-01-10,2026-01-16,6,Closed,Low,0
L0000085,C000124,Car Finance,North West,20000,12,15.9,2025-02-28,2025-03-07,7,Active,Low,15448.94
L0000086,C000126,Home Improvement,Scotland,12500,36,9.9,2025-01-18,2025-01-23,5,Delinquent,Low,7232.03
L0000087,C000129,Debt Consolidation,South East,16500,12,9.9,2026-01-19,2026-01-23,4,Delinquent,Low,12710.76
L0000088,C000131,Car Finance,North West,19000,60,9.9,2025-06-09,2025-06-16,7,Defaulted,Low,8320.95
L0000089,C000132,Car Finance,Midlands,26000,12,15.9,2025-07-10,2025-07-16,6,Active,Medium,19674.01
L0000090,C000133,Debt Consolidation,Scotland,11500,24,12.9,2025-04-03,2025-04-06,3,Active,Low,6121.31
L0000091,C000134,Debt Consolidation,Wales,23000,48,15.9,2026-04-29,2026-05-03,4,Active,High,9527.43
L0000092,C000135,Personal Loan,North West,7500,24,15.9,2026-03-08,2026-03-10,2,Closed,Low,0
L0000093,C000136,Home Improvement,Wales,19000,48,7.9,2026-03-11,2026-03-17,6,Delinquent,Low,5966.36
L0000094,C000137,Debt Consolidation,Scotland,23500,36,7.9,2025-12-12,2025-12-18,6,Active,Low,9244.64
L0000095,C000139,Personal Loan,North West,15500,48,7.9,2025-11-06,2025-11-12,6,Closed,Medium,0
L0000096,C000140,Car Finance,Midlands,9000,12,18.9,2025-11-29,2025-12-06,7,Active,Medium,5741.72
L0000097,C000141,Car Finance,Midlands,2500,24,18.9,2026-04-24,2026-04-27,3,Active,Medium,2441.34
L0000098,C000143,Debt Consolidation,South West,11000,48,9.9,2026-04-21,2026-04-25,4,Delinquent,Low,5302.5
L0000099,C000144,Car Finance,South East,7000,60,15.9,2025-09-13,2025-09-16,3,Active,Low,4257.45
L0000100,C000145,Home Improvement,London,15500,12,7.9,2026-03-27,2026-03-28,1,Active,Low,12075.9
L0000101,C000146,Home Improvement,Scotland,26000,24,9.9,2025-02-06,2025-02-11,5,Delinquent,Low,19303.87
L0000102,C000147,Car Finance,Midlands,22500,24,18.9,2026-05-12,2026-05-17,5,Active,Medium,20128.97
L0000103,C000149,Debt Consolidation,Midlands,19500,60,18.9,2025-10-05,2025-10-13,8,Active,Low,6885.34
L0000104,C000151,Car Finance,South West,26500,24,18.9,2026-03-30,2026-04-01,2,Closed,Low,0
L0000105,C000153,Home Improvement,Midlands,18000,48,15.9,2025-11-23,2025-11-28,5,Active,Medium,4112.85
L0000106,C000155,Personal Loan,Wales,13000,24,15.9,2026-02-23,2026-02-28,5,Closed,Low,0
L0000107,C000156,Debt Consolidation,South East,6000,12,12.9,2026-04-29,2026-05-06,7,Closed,Medium,0
L0000108,C000158,Debt Consolidation,South East,29000,36,15.9,2025-11-18,2025-11-23,5,Closed,Low,0
L0000109,C000159,Personal Loan,Midlands,18000,36,18.9,2025-02-02,2025-02-05,3,Approved,Low,11145.68
L0000110,C000160,Personal Loan,South West,8500,36,9.9,2025-06-01,2025-06-06,5,Active,Low,6774.11
L0000111,C000161,Personal Loan,South West,27500,60,12.9,2025-04-03,2025-04-06,3,Delinquent,Low,4290.61
L0000112,C000162,Debt Consolidation,London,24000,48,7.9,2025-05-24,2025-05-29,5,Active,Low,20857.59
L0000113,C000163,Debt Consolidation,Wales,26000,60,18.9,2026-01-22,2026-01-27,5,Active,Low,5888.03
L0000114,C000164,Car Finance,South East,10000,24,12.9,2025-08-20,2025-08-26,6,Active,Medium,7047.36
L0000115,C000165,Car Finance,South East,29000,36,9.9,2026-05-11,2026-05-14,3,Active,Medium,28244.26
L0000116,C000166,Home Improvement,South East,20000,60,18.9,2025-06-05,2025-06-08,3,Active,Medium,11954.99
L0000117,C000169,Debt Consolidation,North West,25000,36,7.9,2025-05-20,2025-05-27,7,Approved,Medium,22903.33
L0000118,C000171,Debt Consolidation,South East,5500,60,9.9,2026-02-16,2026-02-22,6,Active,Medium,3893.77
L0000119,C000172,Home Improvement,Wales,24500,48,12.9,2025-06-22,2025-06-27,5,Defaulted,Medium,8581.68
L0000120,C000174,Debt Consolidation,Scotland,24500,48,9.9,2025-04-14,2025-04-20,6,Approved,Low,15694.7
L0000121,C000175,Car Finance,South West,8500,60,9.9,2025-01-27,2025-02-05,9,Active,Low,6932.37
L0000122,C000177,Car Finance,Wales,5000,12,15.9,2025-11-10,2025-11-15,5,Active,High,3403.82
L0000123,C000178,Home Improvement,South East,14500,24,15.9,2025-12-29,2026-01-06,8,Closed,Medium,0
L0000124,C000180,Car Finance,Midlands,29000,60,18.9,2025-07-10,2025-07-17,7,Active,Medium,22325.3
L0000125,C000181,Debt Consolidation,Wales,20000,12,15.9,2025-10-03,2025-10-07,4,Active,Low,3367.11
L0000126,C000183,Debt Consolidation,Midlands,18500,48,9.9,2025-03-07,2025-03-11,4,Closed,Medium,0
L0000127,C000185,Personal Loan,South West,23500,36,7.9,2025-03-02,2025-03-09,7,Active,Low,9900.4
L0000128,C000186,Personal Loan,South West,2500,60,7.9,2026-04-01,2026-04-09,8,Delinquent,High,2049.95
L0000129,C000188,Home Improvement,North West,26000,60,9.9,2026-02-08,2026-02-13,5,Closed,Medium,0
L0000130,C000190,Personal Loan,London,11500,48,9.9,2025-02-18,2025-02-24,6,Active,Low,9587.66
L0000131,C000192,Debt Consolidation,Midlands,14000,24,12.9,2025-07-01,2025-07-07,6,Active,Medium,9324.89
L0000132,C000193,Debt Consolidation,Scotland,9500,48,18.9,2025-03-11,2025-03-15,4,Active,Low,4910.36
L0000133,C000194,Debt Consolidation,Midlands,21500,24,12.9,2025-01-18,2025-01-22,4,Active,Low,3330.31
L0000134,C000195,Home Improvement,London,25500,24,15.9,2026-04-06,2026-04-12,6,Approved,Low,24569.47
L0000135,C000196,Home Improvement,Wales,8500,24,18.9,2025-09-09,2025-09-15,6,Approved,Low,7627.0
L0000136,C000197,Debt Consolidation,South West,10500,60,9.9,2025-06-26,2025-07-04,8,Approved,Low,2888.2
L0000137,C000199,Debt Consolidation,South East,11000,36,7.9,2025-06-29,2025-07-04,5,Delinquent,Low,5440.65
L0000138,C000200,Debt Consolidation,South East,23500,48,9.9,2025-11-04,2025-11-08,4,Active,Low,22280.52
L0000139,C000201,Car Finance,North West,15000,36,9.9,2026-03-11,2026-03-18,7,Active,Low,5756.43
L0000140,C000202,Debt Consolidation,Scotland,14000,36,18.9,2025-03-23,2025-03-27,4,Active,Medium,10329.72
L0000141,C000203,Car Finance,North West,26000,24,9.9,2025-11-26,2025-11-28,2,Active,Low,14833.6
L0000142,C000204,Debt Consolidation,South West,12000,60,9.9,2026-05-16,2026-05-23,7,Active,Low,2225.29
L0000143,C000206,Car Finance,Midlands,4000,36,15.9,2025-04-19,2025-04-23,4,Active,Low,3268.03
L0000144,C000207,Debt Consolidation,Scotland,4000,12,15.9,2026-04-30,2026-05-04,4,Active,Low,1295.39
L0000145,C000210,Car Finance,South East,14000,24,12.9,2026-04-06,2026-04-11,5,Closed,Medium,0
L0000146,C000212,Car Finance,London,8500,24,12.9,2025-09-25,2025-09-28,3,Active,Low,1830.3
L0000147,C000213,Personal Loan,Scotland,12000,60,7.9,2025-07-02,2025-07-06,4,Closed,High,0
