VerificationID,LoanID,CustomerID,KYCStatus,VerificationDate,DocumentType,VerificationMethod
V0000001,L0000001,C000001,Verified,2026-03-29,BRP,API
V0000002,L0000002,C000004,Verified,2026-01-27,Utility Bill,Manual
V0000003,L0000003,C000005,Manual Review,2025-09-21,BRP,API
V0000004,L0000004,C000006,Verified,2026-02-26,Utility Bill,Email
V0000005,L0000005,C000008,Verified,2025-03-03,Passport,Manual
V0000006,L0000006,C000010,Verified,2025-02-13,Utility Bill,Manual
V0000007,L0000007,C000013,Verified,2026-05-04,Utility Bill,API
V0000008,L0000008,C000016,Verified,2025-04-30,BRP,Manual
V0000009,L0000009,C000017,Failed,2025-10-20,Utility Bill,Email
V0000010,L0000010,C000018,Manual Review,2025-06-17,BRP,Email
V0000011,L0000011,C000019,Verified,2026-05-18,Utility Bill,Manual
V0000012,L0000012,C000020,Verified,2026-05-18,Passport,API
V0000013,L0000013,C000021,Verified,2025-08-10,Utility Bill,Manual
V0000014,L0000014,C000022,Verified,2026-01-18,Passport,Email
V0000015,L0000015,C000023,Manual Review,2025-05-09,Driving Licence,Email
V0000016,L0000016,C000024,Verified,2025-05-29,Utility Bill,Email
V0000017,L0000017,C000025,Verified,2025-01-13,Passport,Email
V0000018,L0000018,C000026,Verified,2026-01-19,Driving Licence,Manual
V0000019,L0000019,C000027,Manual Review,2025-07-10,BRP,Email
V0000020,L0000020,C000030,Verified,2025-07-24,Utility Bill,Email
V0000021,L0000021,C000031,Verified,2026-05-31,BRP,API
V0000022,L0000022,C000032,Verified,2025-02-20,Passport,Manual
V0000023,L0000023,C000033,Failed,2026-01-18,BRP,API
V0000024,L0000024,C000034,Verified,2025-06-15,Driving Licence,Manual
V0000025,L0000025,C000035,Verified,2025-09-22,BRP,Manual
V0000026,L0000026,C000036,Verified,2025-11-14,Utility Bill,API
V0000027,L0000027,C000037,Verified,2026-03-31,Passport,Email
V0000028,L0000028,C000039,Verified,2025-03-20,Utility Bill,Email
V0000029,L0000029,C000040,Verified,2026-05-06,Driving Licence,Manual
V0000030,L0000030,C000041,Manual Review,2026-01-06,Driving Licence,Manual
